gene_id	symbol	difference_icle	pvalue_icle	fdr_icle	warnings	errors
1	A1BG	-0.2246083605666	0.00310681783478789	0.39547179184207		
9	NAT1	0.0193927528008259	0.821465921501735	0.979643476111129		
12	SERPINA3	0.236360624697555	0.157397869849961	0.78089276621419		
13	AADAC	-0.0212570857277596	0.70002608533959	0.957521804411859		
14	AAMP	-0.177834802207422	0.226766715954491	0.825242033886519		
15	AANAT	-0.15904875191623	0.22096691993407	0.820359843639919		
16	AARS	-0.059506440050453	0.278311105410205	0.847844611401596		
18	ABAT	0.14799232058487	0.471461286553543	0.916780371590503		
19	ABCA1	-0.0156809428933563	0.78987566521654	0.974400983127629		
20	ABCA2	-0.0114444017266235	0.880011368791796	0.985120292086123		
21	ABCA3	-0.28430949408807	0.0435552087763106	0.638548663780826		
22	ABCB7	0.167366417616501	0.122592831879838	0.748232781842247		
23	ABCF1	-0.0947741733579995	0.351824254647741	0.879316328318536		
24	ABCA4	0.102930665164244	0.0931647714467714	0.709038644662179		
25	ABL1	-0.0356965886525616	0.326845141776906	0.871178261582175		
26	AOC1	-0.121152523145827	0.239921822396553	0.830464196918736		
27	ABL2	-0.0587128439722184	0.575690727715003	0.930405059422556		
28	ABO	0.0435123767738376	0.580157398340898	0.931229882339326		
29	ABR	0.154769558044055	0.133069500246584	0.761874766729554		
31	ACACA	0.0251692307901375	0.670984914619823	0.949251612788128		
32	ACACB	0.0676461114243329	0.0855062220339915	0.698982817264306		
33	ACADL	0.068973499979036	0.162837867830165	0.786169453835488		
34	ACADM	0.0677377879687626	0.0912948381130858	0.709038644662179		
35	ACADS	0.106884376318568	0.258764612140644	0.841134971152139		
36	ACADSB	0.0160093936186183	0.696077109296239	0.957521804411859		
37	ACADVL	-0.127745869945995	0.177318741985456	0.789574903999118		
38	ACAT1	-0.118322926959588	0.238205107134434	0.830464196918736		
39	ACAT2	-0.0674292154923275	0.64693306271287	0.943777757131878		
40	ASIC2	0.039035731351733	0.748132238494895	0.966633586535879		
43	ACHE	0.10244586401723	0.309744272433242	0.861183997285282		
47	ACLY	0.342240427263312	0.0951017889022909	0.709954729545179		
48	ACO1	0.294036583643047	0.0273037408582105	0.589128856667438		
49	ACR	-0.156675042879451	0.207952084815547	0.807736953215081		
50	ACO2	-0.10299427145418	0.562524944001118	0.929841247504881		
51	ACOX1	-0.00729838003567769	0.919328650921363	0.991542917889706		
52	ACP1	0.0804623695050024	0.512228326924796	0.924576314665931		
53	ACP2	-0.0824066640726125	0.154417817472066	0.778471588637207		
54	ACP5	0.00147588630192755	0.971922812977629	0.997468791590167		
55	ACPP	-0.00663423352210539	0.935961379057081	0.993515937829358		
56	ACRV1	-0.0860170942640996	0.273869692212624	0.84767494919009		
58	ACTA1	0.0274210765931614	0.605876917991741	0.934799720730912		
59	ACTA2	-0.0411471477578786	0.713680795795469	0.960513065699947		
60	ACTB	0.00937470580981334	0.880666752262309	0.985120292086123		
70	ACTC1	0.0113622504846647	0.864418487791975	0.983861613131326		
71	ACTG1	-0.260431538408336	0.0196362562610858	0.562640548564799		
72	ACTG2	0.232708447005306	0.0224324040929026	0.5673338246494		
81	ACTN4	-0.0629182268672063	0.265303378780191	0.844029527223372		
86	ACTL6A	-0.0686385922199226	0.56834709439246	0.930354950806133		
87	ACTN1	-0.0348341402138465	0.426579092511989	0.901285679336259		
88	ACTN2	-0.0178315914287613	0.555911989128919	0.929561934857979		
89	ACTN3	-0.0441484871093558	0.315003165178762	0.864837451955993		
90	ACVR1	-0.098952512795513	0.154011909630923	0.778471588637207		
91	ACVR1B	0.0710335347274147	0.179315180109042	0.789587181756493		
92	ACVR2A	0.0727664102380851	0.348883041677652	0.87837344471174		
93	ACVR2B	-0.191911353030788	0.0160600393574651	0.548106343110728		
94	ACVRL1	-0.0196544741801829	0.732934174979893	0.963109658772368		
95	ACY1	0.0164514916705602	0.807113198092724	0.978537717705198		
97	ACYP1	-0.0760572817615723	0.262336048637501	0.843168623584044		
